Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,Deviation,Error,Correction_Magnitude,Remarks
58.0,-19.074,-24.322,209.0,0.08,0.0,-19.022,-24.383,209.0,0.08,0.0,0.749,Out of spec
59.0,-19.748,-25.134,209.0,0.08,0.0,-19.68,-25.178,209.0,0.08,-0.0,0.748,Within tolerance
60.0,-20.421,-25.946,209.0,0.08,0.0,-20.359,-25.997,209.0,0.08,0.0,0.76,Out of spec
61.0,-21.096,-26.757,209.0,0.08,0.0,-21.05,-26.822,209.0,0.08,-0.0,0.693,Within tolerance
62.0,-21.148,-26.808,209.0,0.08,0.0,-21.097,-26.869,209.0,0.08,-0.0,0.684,Within tolerance
63.0,-21.21,-26.849,209.0,0.08,0.0,-21.152,-26.905,209.0,0.08,-0.0,0.696,Within tolerance
64.0,-21.278,-26.877,209.0,0.08,0.0,-21.251,-26.953,209.0,0.08,-0.0,0.706,Within tolerance
65.0,-21.35,-26.892,209.0,0.08,0.0,-21.316,-26.964,209.0,0.08,0.0,0.719,Out of spec
66.0,-21.423,-26.893,209.0,0.08,0.0,-21.384,-26.962,209.0,0.08,-0.0,0.752,Within tolerance
67.0,-21.496,-26.879,209.0,0.08,0.0,-21.514,-26.957,209.0,0.08,-0.0,0.754,Within tolerance
68.0,-21.564,-26.852,209.0,0.08,0.0,-21.599,-26.924,209.0,0.08,-0.0,0.762,Within tolerance
69.0,-21.627,-26.813,209.0,0.08,0.0,-21.655,-26.888,209.0,0.08,-0.0,0.773,Within tolerance
70.0,-21.68,-26.763,209.0,0.08,0.0,-21.703,-26.839,209.0,0.08,-0.0,0.804,Within tolerance
71.0,-21.723,-26.703,209.0,0.08,0.0,-21.741,-26.781,209.0,0.08,-0.0,0.851,Within tolerance
72.0,-21.754,-26.636,209.0,0.08,0.0,-21.812,-26.691,209.0,0.08,-0.0,0.894,Within tolerance
73.0,-21.772,-26.565,209.0,0.08,0.0,-21.826,-26.623,209.0,0.08,-0.0,0.933,Within tolerance
74.0,-21.775,-26.491,209.0,0.08,0.0,-21.848,-26.524,209.0,0.08,-0.0,0.963,Within tolerance
75.0,-21.765,-26.418,209.0,0.08,0.0,-21.836,-26.455,209.0,0.08,0.0,1.004,Out of spec
76.0,-21.741,-26.349,209.0,0.08,0.0,-21.81,-26.389,209.0,0.08,0.0,1.059,Out of spec
77.0,-21.345,-25.501,209.0,0.08,0.0,-21.419,-25.472,209.0,0.08,-0.0,1.146,Within tolerance
78.0,-20.922,-24.666,209.0,0.08,0.0,-20.991,-24.625,209.0,0.08,0.0,1.147,Out of spec
79.0,-20.474,-23.845,209.0,0.08,0.0,-20.546,-23.809,209.0,0.08,-0.0,1.142,Within tolerance
80.0,-20.012,-23.032,209.0,0.08,0.0,-20.077,-22.984,209.0,0.08,-0.0,1.147,Within tolerance
81.0,-19.545,-22.221,209.0,0.08,0.0,-19.613,-22.179,209.0,0.08,-0.0,1.139,Within tolerance
82.0,-19.073,-21.414,209.0,0.08,0.0,-19.143,-21.376,209.0,0.08,-0.0,1.138,Within tolerance
83.0,-18.595,-20.609,209.0,0.08,0.0,-18.659,-20.561,209.0,0.08,0.0,1.146,Out of spec
84.0,-18.111,-19.809,209.0,0.08,0.0,-18.179,-19.765,209.0,0.08,0.0,1.141,Out of spec
85.0,-17.621,-19.012,209.0,0.08,0.0,-17.692,-18.974,209.0,0.08,0.0,1.147,Out of spec
86.0,-17.125,-18.218,209.0,0.08,0.0,-17.189,-18.17,209.0,0.08,-0.0,1.151,Within tolerance
87.0,-16.625,-17.428,209.0,0.08,0.0,-16.692,-17.385,209.0,0.08,0.0,1.148,Out of spec
88.0,-16.119,-16.641,209.0,0.08,0.0,-16.189,-16.603,209.0,0.08,0.0,1.152,Out of spec
89.0,-15.608,-15.857,209.0,0.08,0.0,-15.672,-15.809,209.0,0.08,0.0,1.154,Out of spec
90.0,-15.092,-15.077,209.0,0.08,0.0,-15.159,-15.034,209.0,0.08,0.0,1.151,Out of spec
91.0,-14.57,-14.301,209.0,0.08,0.0,-14.64,-14.263,209.0,0.08,-0.0,1.157,Within tolerance
92.0,-14.042,-13.529,209.0,0.08,0.0,-14.106,-13.481,209.0,0.08,0.0,1.153,Out of spec
93.0,-13.508,-12.76,209.0,0.08,0.0,-13.576,-12.719,209.0,0.08,0.0,1.156,Out of spec
94.0,-12.968,-11.997,209.0,0.08,0.0,-13.037,-11.957,209.0,0.08,0.0,1.114,Out of spec
95.0,-12.422,-11.237,209.0,0.08,0.0,-12.485,-11.188,209.0,0.08,0.0,1.11,Out of spec
96.0,-11.869,-10.482,209.0,0.08,0.0,-11.936,-10.439,209.0,0.08,-0.0,1.115,Within tolerance
97.0,-11.31,-9.732,209.0,0.08,0.0,-11.371,-9.68,209.0,0.08,0.0,1.119,Out of spec
98.0,-10.745,-8.987,209.0,0.08,0.0,-10.81,-8.94,209.0,0.08,0.0,1.121,Out of spec
99.0,-10.173,-8.246,209.0,0.08,0.0,-10.23,-8.191,209.0,0.08,-0.0,1.131,Within tolerance
100.0,-9.594,-7.512,209.0,0.08,0.0,-9.656,-7.462,209.0,0.08,0.0,1.127,Out of spec
101.0,-9.008,-6.782,209.0,0.08,0.0,-9.075,-6.738,209.0,0.08,0.0,1.136,Out of spec
102.0,-8.416,-6.058,209.0,0.08,0.0,-8.477,-6.005,209.0,0.08,0.0,1.133,Out of spec
103.0,-7.817,-5.339,209.0,0.08,0.0,-7.882,-5.293,209.0,0.08,0.0,1.139,Out of spec
104.0,-7.212,-4.626,209.0,0.08,0.0,-7.271,-4.572,209.0,0.08,-0.0,1.138,Within tolerance
105.0,-6.599,-3.918,209.0,0.08,0.0,-6.664,-3.871,209.0,0.08,0.0,1.143,Out of spec
106.0,-5.981,-3.217,209.0,0.08,0.0,-6.04,-3.163,209.0,0.08,0.0,1.143,Out of spec
107.0,-5.355,-2.521,209.0,0.08,0.0,-5.41,-2.463,209.0,0.08,0.0,1.115,Out of spec
108.0,-4.723,-1.831,209.0,0.08,0.0,-4.785,-1.78,209.0,0.08,0.0,1.114,Out of spec
109.0,-4.085,-1.147,209.0,0.08,0.0,-4.142,-1.091,209.0,0.08,0.0,1.117,Out of spec
110.0,-3.441,-0.469,209.0,0.08,0.0,-3.494,-0.409,209.0,0.08,-0.0,1.122,Within tolerance
111.0,-2.791,0.204,209.0,0.08,0.0,-2.853,0.254,209.0,0.08,0.0,1.125,Out of spec
112.0,-2.135,0.871,209.0,0.08,0.0,-2.196,0.923,209.0,0.08,0.0,1.124,Out of spec
113.0,-1.474,1.532,209.0,0.08,0.0,-1.535,1.584,209.0,0.08,0.0,1.125,Out of spec
114.0,-0.807,2.188,209.0,0.08,0.0,-0.858,2.25,209.0,0.08,0.0,1.125,Out of spec
115.0,-0.134,2.839,209.0,0.08,0.0,-0.187,2.899,209.0,0.08,0.0,1.125,Out of spec
116.0,0.543,3.484,209.0,0.08,0.0,0.488,3.542,209.0,0.08,0.0,1.129,Out of spec
117.0,1.226,4.124,209.0,0.08,0.0,1.167,4.178,209.0,0.08,-0.0,1.134,Within tolerance
118.0,1.914,4.758,209.0,0.08,0.0,1.862,4.819,209.0,0.08,-0.0,1.136,Within tolerance
119.0,2.607,5.386,209.0,0.08,0.0,2.563,5.454,209.0,0.08,0.0,1.119,Out of spec
120.0,3.305,6.009,209.0,0.08,0.0,3.247,6.064,209.0,0.08,-0.0,1.111,Within tolerance
121.0,4.009,6.625,209.0,0.08,0.0,3.958,6.687,209.0,0.08,0.0,1.11,Out of spec
122.0,4.718,7.236,209.0,0.08,0.0,4.664,7.294,209.0,0.08,0.0,1.114,Out of spec
123.0,5.432,7.839,209.0,0.08,0.0,5.385,7.904,209.0,0.08,0.0,1.118,Out of spec
124.0,6.152,8.437,209.0,0.08,0.0,6.102,8.499,209.0,0.08,-0.0,1.116,Within tolerance
125.0,6.877,9.028,209.0,0.08,0.0,6.823,9.087,209.0,0.08,0.0,1.119,Out of spec
126.0,7.608,9.612,209.0,0.08,0.0,7.561,9.677,209.0,0.08,0.0,1.119,Out of spec
127.0,8.345,10.188,209.0,0.08,0.0,8.295,10.25,209.0,0.08,-0.0,1.12,Within tolerance
128.0,9.09,10.755,209.0,0.08,0.0,9.047,10.822,209.0,0.08,0.0,1.125,Out of spec
129.0,9.841,11.312,209.0,0.08,0.0,9.794,11.377,209.0,0.08,0.0,1.121,Out of spec
130.0,10.6,11.859,209.0,0.08,0.0,10.549,11.92,209.0,0.08,-0.0,1.123,Within tolerance
131.0,11.368,12.393,209.0,0.08,0.0,11.324,12.46,209.0,0.08,-0.0,1.12,Within tolerance
132.0,12.145,12.913,209.0,0.08,0.0,12.097,12.977,209.0,0.08,-0.0,1.126,Within tolerance
133.0,12.933,13.419,209.0,0.08,0.0,12.892,13.488,209.0,0.08,-0.0,1.13,Within tolerance
