Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,I,J,K,Deviation,Error,Correction_Magnitude,Remarks
153.0,20.092,18.522,220.0,0.08,0.0,20.081,18.601,220.0,-0.293,0.956,-0.014,0.08,0.0,1.215,Out of spec
154.0,20.986,18.752,220.0,0.08,0.0,20.974,18.831,220.0,-0.255,0.967,-0.014,0.08,-0.0,1.213,Within tolerance
155.0,21.891,18.934,220.0,0.08,0.0,21.883,19.013,220.0,-0.157,0.988,-0.012,0.08,-0.0,1.235,Within tolerance
156.0,22.802,19.088,220.0,0.08,0.0,22.789,19.167,220.0,-0.052,0.999,-0.011,0.08,0.0,1.201,Out of spec
157.0,22.892,19.094,220.0,0.08,0.0,22.874,19.171,220.0,-0.052,0.999,-0.011,0.08,-0.0,1.212,Within tolerance
158.0,22.983,19.082,220.0,0.08,0.0,23.015,19.156,220.0,0.388,0.922,-0.003,0.08,0.0,1.218,Out of spec
159.0,23.069,19.055,220.0,0.08,0.0,23.125,19.112,220.0,0.743,0.669,0.004,0.08,-0.0,1.193,Within tolerance
160.0,23.149,19.012,220.0,0.08,0.0,23.218,19.052,220.0,0.876,0.482,0.01,0.08,-0.0,1.157,Within tolerance
161.0,23.219,18.955,220.0,0.08,0.0,23.297,18.972,220.0,0.969,0.246,0.012,0.08,0.0,1.11,Out of spec
162.0,23.278,18.885,220.0,0.08,0.0,23.355,18.909,220.0,0.969,0.246,0.012,0.08,0.0,1.071,Out of spec
163.0,23.323,18.806,220.0,0.08,0.0,23.402,18.801,220.0,1.0,-0.01,0.005,0.08,0.0,1.049,Out of spec
164.0,23.352,18.72,220.0,0.08,0.0,23.423,18.683,220.0,0.855,-0.518,0.0,0.08,-0.0,0.999,Within tolerance
165.0,23.365,18.631,220.0,0.08,0.0,23.425,18.578,220.0,0.714,-0.7,0.0,0.08,-0.0,0.932,Within tolerance
166.0,23.36,18.54,220.0,0.08,0.0,23.424,18.492,220.0,0.714,-0.7,0.0,0.08,0.0,0.878,Out of spec
167.0,23.339,18.452,220.0,0.08,0.0,23.382,18.384,220.0,0.544,-0.839,0.0,0.08,0.0,0.833,Out of spec
168.0,23.302,18.369,220.0,0.08,0.0,23.35,18.305,220.0,0.544,-0.839,0.0,0.08,-0.0,0.785,Within tolerance
169.0,23.251,18.294,220.0,0.08,0.0,23.305,18.235,220.0,0.544,-0.839,0.0,0.08,0.0,0.761,Out of spec
170.0,23.186,18.231,220.0,0.08,0.0,23.213,18.156,220.0,0.512,-0.859,0.0,0.08,0.0,0.743,Out of spec
171.0,23.11,18.18,220.0,0.08,0.0,23.146,18.109,220.0,0.512,-0.859,0.0,0.08,-0.0,0.726,Within tolerance
